,STATE_UT_NAME,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,flood,Avg_june10days,maytojune
107,WEST BENGAL,12.2,24.1,39,56.8,107.6,243.8,329.5,316,276.8,106.5,17.9,5.3,1535.5,36.3,203.4,1166.1,129.7,1,81.26666667,136.2
108,WEST BENGAL,14.4,24.7,33.5,53.1,113.4,278.3,361,335.2,306.6,155.3,24.8,8.9,1709.2,39.1,200,1281.1,189,1,92.76666667,164.9
109,ORISSA,11.9,36,38.4,59.2,120.9,259.1,287.2,334.4,296.4,190.1,38.8,6.6,1679,47.9,218.5,1177.1,235.5,1,86.36666667,138.2
110,ORISSA,11.1,15.9,20.1,22.7,37.5,200.5,386.2,366.9,220.5,69.5,13.6,6.3,1370.8,27,80.3,1174.1,89.4,1,66.83333333,163
111,ORISSA,12.7,26.2,29.8,36.2,68.2,199.7,319.2,373.2,230.2,114.6,34.2,4.1,1448.3,38.9,134.2,1122.3,152.9,1,66.56666667,131.5
112,ORISSA,14.7,26.9,28.9,43.2,74.3,227.2,338,352.3,245,124.5,40.2,4.5,1519.7,41.6,146.4,1162.5,169.2,1,75.73333333,152.9
113,ORISSA,7.3,20.8,31.3,38.4,71.2,226.1,315.8,369.1,233.4,125.5,25.5,4.6,1469,28.1,140.9,1144.4,155.6,1,75.36666667,154.9
114,ORISSA,13.3,22.7,30.3,41.5,85.3,158.8,219.2,245,210.4,198.4,70.8,8.8,1304.5,36,157.1,833.4,278,1,52.93333333,73.5
115,ORISSA,4.8,15,15.3,25.6,44.2,237.5,368.5,371.8,229.8,72.3,13.4,4.8,1403,19.8,85.1,1207.6,90.5,1,79.16666667,193.3
116,ORISSA,16.2,31.8,37,50.2,101.2,232.9,277.7,320.2,225.7,113.6,24.5,5.7,1436.7,48,188.4,1056.5,143.8,1,77.63333333,131.7
117,ORISSA,5.2,12.3,16.3,53.2,89.4,200.8,384.1,410.5,267.4,147.6,31.9,3.8,1622.5,17.5,158.9,1262.8,183.3,1,66.93333333,111.4
118,ORISSA,11.2,25.4,47.9,61.4,110.2,279.7,323.9,373.8,278.5,119.1,23.6,6,1660.7,36.6,219.5,1255.9,148.7,1,93.23333333,169.5
119,ORISSA,16.1,25.8,18.9,17.6,65.3,168.9,268.5,328.4,255.7,185.3,56.3,9.4,1416.2,41.9,101.8,1021.5,251,1,56.3,103.6
120,ORISSA,12.1,19.9,20.1,15.6,32.4,226.6,418.3,464.6,251.6,58.2,9,5.1,1533.5,32,68.1,1361.1,72.3,1,75.53333333,194.2
121,ORISSA,19.3,16.3,18,14.4,39.6,216.9,368.3,373.2,217.5,50.4,8.8,5.1,1347.8,35.6,72,1175.9,64.3,1,72.3,177.3
122,ORISSA,9.9,34.1,37.6,53.1,103.9,218.4,269.8,354,227.7,159.5,35.3,4.1,1507.4,44,194.6,1069.9,198.9,1,72.8,114.5
123,ORISSA,10.6,28.4,33.5,48,91.9,250,283.5,363.2,258.1,134.6,33.6,5.9,1541.3,39,173.4,1154.8,174.1,1,83.33333333,158.1
124,ORISSA,8.4,32.6,37.2,27.8,90.5,205.8,257.4,362.6,262.7,179.9,70.2,5.5,1540.6,41,155.5,1088.5,255.6,1,68.6,115.3
125,ORISSA,6.9,19.1,25.1,29.7,55.4,205.8,320.2,355.4,228,98.1,14.7,3.6,1362,26,110.2,1109.4,116.4,1,68.6,150.4
126,ORISSA,12.5,11.8,16.9,24,33.9,182.9,347.3,302.1,184.9,60.7,14.8,5.6,1197.4,24.3,74.8,1017.2,81.1,1,60.96666667,149
127,ORISSA,1.8,5.5,10.4,35.3,61.6,206.9,437.3,449.2,230.7,116.3,16.9,0.8,1572.7,7.3,107.3,1324.1,134,1,68.96666667,145.3
128,ORISSA,5.9,12.6,14.4,53.9,104.1,241.6,430.9,432.1,242.7,102.6,19,0.7,1660.5,18.5,172.4,1347.3,122.3,1,80.53333333,137.5
129,ORISSA,13.6,22.5,26.2,42,47.7,213.4,312.2,327.4,242.2,152.2,47.9,2.8,1450.1,36.1,115.9,1095.2,202.9,1,71.13333333,165.7
130,ORISSA,10.1,25.9,26.9,30.9,68,186.4,310.8,339.3,251.5,167.7,45.5,6.5,1469.5,36,125.8,1088,219.7,1,62.13333333,118.4
131,ORISSA,8.7,14.9,18.1,14.8,19.5,188.4,362.1,357.4,217.9,51.2,6.8,5.1,1264.9,23.6,52.4,1125.8,63.1,1,62.8,168.9
132,ORISSA,16.6,21.2,18.6,18.4,36.6,224.6,402.3,415.8,239.1,63.8,10.1,7.2,1474.3,37.8,73.6,1281.8,81.1,1,74.86666667,188
133,ORISSA,12.1,19.9,20.1,15.6,32.4,226.6,418.3,464.6,251.6,58.2,9,5.1,1533.5,32,68.1,1361.1,72.3,1,75.53333333,194.2
134,ORISSA,12.4,23.1,38.5,56,94,173.2,314.6,266.5,206.2,109.4,29,4,1326.9,35.5,188.5,960.5,142.4,1,57.73333333,79.2
135,ORISSA,9.5,35,64.2,79.1,136.8,201.7,241,261.1,226.5,141.8,60.2,5.2,1462.1,44.5,280.1,930.3,207.2,1,67.23333333,64.9
136,ORISSA,10.7,29,35.3,41.3,107.1,237.2,287.3,360.6,235.7,145.1,67.5,8.2,1565,39.7,183.7,1120.8,220.8,1,79.06666667,130.1
137,ORISSA,12.7,26.2,29.8,36.2,68.2,199.7,319.2,373.2,230.2,114.6,34.2,4.1,1448.3,38.9,134.2,1122.3,152.9,1,66.56666667,131.5
138,ORISSA,6,14.3,18.5,14.3,30.4,178.2,380.4,432.5,252.3,56.9,6.7,4.9,1395.4,20.3,63.2,1243.4,68.5,1,59.4,147.8
139,JHARKHAND,11.8,13.7,18.3,19,38.2,188.6,308.1,300.8,250.7,77.9,14,6.4,1247.5,25.5,75.5,1048.2,98.3,1,62.86666667,150.4
140,JHARKHAND,12,17.4,19.5,18.2,49.6,200.9,340.3,310,271.1,99.5,10.5,6.2,1355.2,29.4,87.3,1122.3,116.2,1,66.96666667,151.3
141,JHARKHAND,15.4,14.5,17.2,26.1,69,203,327.2,304.3,262.4,124.5,12.4,5.5,1381.5,29.9,112.3,1096.9,142.4,1,67.66666667,134
142,JHARKHAND,14.1,15.3,14.8,11.7,35.5,176.9,317.5,289.6,221.9,81.8,7.9,9,1196,29.4,62,1005.9,98.7,1,58.96666667,141.4
143,JHARKHAND,17.3,12.8,10.8,7.1,15.1,140.3,306.7,298.9,228.6,46.6,5.7,6,1095.9,30.1,33,974.5,58.3,1,46.76666667,125.2
144,JHARKHAND,21.9,26.8,21.7,23.6,48.3,217.4,357.1,344.1,241.6,78.7,11.9,10.1,1403.2,48.7,93.6,1160.2,100.7,1,72.46666667,169.1
145,JHARKHAND,13.1,6.1,12.6,22,85.2,258.3,399.7,307.6,333.7,99.8,9.9,5.7,1553.7,19.2,119.8,1299.3,115.4,1,86.1,173.1
146,JHARKHAND,12.9,21.8,23.1,23.9,56.7,208,315.1,342.6,222.7,63.5,9.8,5.5,1305.6,34.7,103.7,1088.4,78.8,1,69.33333333,151.3
147,JHARKHAND,13.4,12.1,9.6,13.5,48,172.3,293.4,266.9,243.6,76.5,9.5,3.3,1162.1,25.5,71.1,976.2,89.3,1,57.43333333,124.3
148,JHARKHAND,11.5,9.9,13.7,18,40.6,206.5,342.9,275.8,239.8,80.3,8,5.7,1252.7,21.4,72.3,1065,94,1,68.83333333,165.9
149,JHARKHAND,11.5,9.9,10.9,20.7,54.4,170.7,294.5,253,225,78.7,8,7.1,1144.4,21.4,86,943.2,93.8,1,56.9,116.3
150,JHARKHAND,22.2,20.4,19.1,25.5,47.1,229,372.7,343.2,252.1,68.3,13,8.7,1421.3,42.6,91.7,1197,90,1,76.33333333,181.9
